date_time,absolute_humidity,deg_C,relative_humidity,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,target_benzene,target_carbon_monoxide,target_nitrogen_oxides,month,week,is_weekend,hour
2010/3/10 18:00,0.7578,13.1,46,1387.2,1087.8,1056,1742.8,1293.4,12,2.5,167.7,3,10,0,18
2010/3/10 19:00,0.7255,13.2,45.3,1279.1,888.2,1197.5,1449.9,1010.9,9.9,2.1,98.9,3,10,0,19
2010/3/10 20:00,0.7502,12.6,56.2,1331.9,929.6,1060.2,1586.1,1117,9.2,2.2,127.1,3,10,0,20
2010/3/10 21:00,0.7867,11,62.4,1321,929,1102.9,1536.5,1263.2,9.7,2.2,177.2,3,10,0,21
2010/3/10 22:00,0.7888,11.9,59,1272,852.7,1180.9,1415.5,1132.2,6.4,1.5,121.8,3,10,0,22
2010/3/10 23:00,0.7848,11.2,56.8,1220.9,697.5,1417.2,1462.6,949,4.4,1.2,88.1,3,10,0,23
2010/3/11 0:00,0.7603,10.7,55.7,1244.2,669.3,1491.2,1413,769.6,3.7,1.2,59.5,3,10,0,0
2010/3/11 1:00,0.7702,10.3,57,1181.4,631.7,1511.1,1359.7,715.4,3.4,1,63.9,3,10,0,1
2010/3/11 2:00,0.7648,10.1,62.7,1159.6,602.9,1610.6,1212.2,657.2,2.2,0.9,46.4,3,10,0,2
2010/3/11 3:00,0.7517,10.5,59.6,1030.2,521.7,1790.2,1148.6,491,1.6,0.6,43,3,10,0,3
2010/3/11 4:00,0.7465,9.4,59.9,960.4,490.1,1781.6,1244.9,431.6,1.4,0.7,21,3,10,0,4
2010/3/11 5:00,0.7366,11.4,58.4,1119.3,522.2,1898.8,1122.9,443.1,1,0.7,16.3,3,10,0,5
2010/3/11 6:00,0.7353,10.3,56.4,1009.9,553,1755.4,1208.8,495.6,1.7,0.7,32.6,3,10,0,6
2010/3/11 7:00,0.7417,10,58.4,1201.2,640.3,1475.1,1339,686.2,3.2,1.1,100.9,3,10,0,7
2010/3/11 8:00,0.7408,10.7,55.1,1373,927,1181.4,1471.5,1046.9,8.3,1.9,167,3,10,0,8
2010/3/11 9:00,0.7691,11,62.4,1378,969.6,1122.2,1583,1069.1,9.3,2.1,126.4,3,10,0,9
2010/3/11 10:00,0.7552,10.9,61.9,1196,793.9,1230.2,1431.5,799.8,6.6,1.7,104.2,3,10,0,10
2010/3/11 11:00,0.7352,11.1,56.7,1155.4,769.6,1354.6,1266.7,664.3,5.1,1.6,96.9,3,10,0,11
2010/3/11 12:00,0.7951,9.4,62.1,1174.2,727.6,1379.1,1429,644.1,5.4,1.6,106.1,3,10,0,12
2010/3/11 13:00,0.8393,8.2,77.9,1311.7,895.1,1220.1,1629.2,846.9,7.4,2,146,3,10,0,13
2010/3/11 14:00,0.8736,8.5,84.3,1357.3,1013.3,963.3,1712.7,1099.2,12,2.8,204.9,3,10,0,14
2010/3/11 15:00,0.8778,7.7,74.2,1310,905,1103.6,1630.5,917.6,9.1,2.2,182.2,3,10,0,15
2010/3/11 16:00,0.8569,9.5,73.3,1227.4,857.3,1080.9,1622.8,976.1,8.1,2.3,194.9,3,10,0,16
2010/3/11 17:00,0.8185,9.5,62.9,1424.5,999.6,937.4,1684.6,1037.8,11.4,2.8,257.6,3,10,0,17
2010/3/11 18:00,0.8065,10.4,67.4,1501.9,1266.2,743.1,1937.2,1366.7,21.6,4.7,275.4,3,10,0,18
2010/3/11 19:00,0.8319,9.5,69.3,1776,1398.7,723.1,2239.7,1584.7,28.2,7.2,406,3,10,0,19
2010/3/11 20:00,0.8133,10.1,63.7,1607.2,1390,735.6,2103.4,1538.2,25.2,6.1,337,3,10,0,20
2010/3/11 21:00,0.7419,8.6,67.8,1378.6,1033,890,1809.4,1220.8,13.6,3.9,242.4,3,10,0,21
2010/3/11 22:00,0.6905,7.8,62.8,994,704.1,1364.8,1319.7,812.8,4.7,1.5,87.4,3,10,0,22
2010/3/11 23:00,0.6657,8.7,58.4,931.3,660.4,1486.8,1239.5,585.1,2.5,1.1,45.6,3,10,0,23
2010/3/12 0:00,0.6438,8.8,56.7,1026,772.8,1329.2,1333.8,791.5,5.7,1.7,119.6,3,10,0,0
2010/3/12 1:00,0.6308,7.8,59.1,991.8,829,1321.8,1309.1,873.6,6.1,1.8,123.7,3,10,0,1
2010/3/12 2:00,0.6276,6.6,59.9,918.8,753.9,1423.9,1212.7,726.6,3.8,1.4,80.4,3,10,0,2
2010/3/12 3:00,0.6261,6.9,66,835.7,574,1646.4,1258.2,491.5,2,0.8,48.4,3,10,0,3
2010/3/12 4:00,0.6248,5.7,69.9,822.7,475.6,1855.1,1088.6,403.2,1.1,0.5,20.4,3,10,0,4
2010/3/12 5:00,0.6233,6.1,64.4,889.4,531.1,1914,1143.4,378.2,1,0.6,28.5,3,10,0,5
2010/3/12 6:00,0.6234,6.6,64.8,908.5,605.3,1769.2,1284.2,477.3,1.9,0.8,59.4,3,10,0,6
2010/3/12 7:00,0.6316,6.3,62.5,1058.3,766.5,1456.4,1401.8,695.6,4.7,1.5,109,3,10,0,7
2010/3/12 8:00,0.6499,7.4,63.1,1682.2,1186.6,923.9,1995,1400,16.6,4.6,297.8,3,10,0,8
2010/3/12 9:00,0.6561,8.8,52.3,1452.3,1434.2,774.7,2119.7,1603.9,23.4,4.3,265.8,3,10,0,9
2010/3/12 10:00,0.632,13.6,40.4,1350,1073.3,875.5,1746.2,1249.4,14.4,3.1,196.4,3,10,0,10
2010/3/12 11:00,0.6243,14,39.6,1300.9,1078.5,920.6,1502.1,1143.7,11.3,2.8,216,3,10,0,11
2010/3/12 12:00,0.6195,15.8,38.7,1157.8,1015.6,1045.4,1583.1,1007,9.9,2.1,143,3,10,0,12
2010/3/12 13:00,0.6262,15.8,34.8,1252,1016,1058.4,1672.6,983,10.9,2.7,166.4,3,10,0,13
2010/3/12 14:00,0.656,15.2,33.6,1222.6,1088.8,920.5,1593.6,1071.6,12.8,2.8,166.3,3,10,0,14
2010/3/12 15:00,0.661,15.6,38.5,1434.2,1077.1,866.7,1653,1082,14.2,2.9,199.5,3,10,0,15
2010/3/12 16:00,0.6657,16.2,37.9,1230.5,1073,1001.7,1706.7,1034.2,13.3,2.9,174.4,3,10,0,16
2010/3/12 17:00,0.6549,15.9,35,1223,1009.8,1006,1529.5,1053.6,11.3,2.5,150,3,10,0,17
2010/3/12 18:00,0.6766,14.5,40.8,1510,1328.1,820.1,1967.3,1466.4,19.9,3.8,201.9,3,10,0,18
2010/3/12 19:00,0.7084,14.5,41.7,1570.8,1221.1,804.6,1717.7,1346.6,18,3.6,191.9,3,10,0,19
2010/3/12 20:00,0.7478,12.5,51,1953.6,1690.5,642.7,2270.5,1792.6,34.6,6.8,357,3,10,0,20
2010/3/12 21:00,0.7536,12,53.8,1566,1286,759.5,1882.8,1545.6,20.1,4.4,287.7,3,10,0,21
2010/3/12 22:00,0.774,11.4,60.3,1498.8,1070.6,830.6,1671.3,1535.7,14.3,3.6,265.7,3,10,0,22
2010/3/12 23:00,0.7771,9.2,61.4,1693.8,1346,696.5,1979.5,1640.4,22,5.7,294,3,10,0,23
2010/3/13 0:00,0.7597,9.2,60.9,1241.6,896.5,895.6,1544,1246.4,9,2.9,196.9,3,10,1,0
2010/3/13 1:00,0.7423,8.8,65.8,1243.8,899.2,1135.3,1375.2,1155.4,7,1.9,143.2,3,10,1,1
2010/3/13 2:00,0.7256,9.3,62.6,1195.8,828.9,1164.2,1310.4,1095.2,5.1,1.5,86.3,3,10,1,2
